Id	Description	Qty	Unit	Designators
1	Cable, 2 wires	0	m	W1
2	Cable, 3 wires	0	m	W2
3	Connector, 36 pins	1		MBB2
4	Connector, 48 pins	1		MBB1
5	Connector, 6 pins	1		KEY
