Id	Description	Qty	Unit	Designators	Manufacturer	MPN
1	Cable, 4 wires	0	m	W1		
2	Connector, 36 pins	1		MBB2		
3	Connector, 48 pins	1		MBB1		
4	Connector, MQS, 4 pins	1		X1	TE	1-967640-1
