Id	Description	Qty	Unit	Designators	Manufacturer	MPN
1	Cable, 1 wires	0	m	LOOP		
2	Cable, 4 wires	0	m	W1		
3	Cable, 6 wires	0	m	W2		
4	Connector, 35 pins	1		X2	TE	
5	Connector, 8 pins	1		X3	Delphi	
6	Connector, MX150, 4 pins	1		X1	molex	33481-0401
7	Label	1			BizLink Technology(Shenzhen)	56-08188 rev 4
